Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Value~String~Value~100|Field=Voltage~String~Voltage~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|Field=LibRef~String~LibRef~100|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~AT Guard Simple.PrjPcb|ReportField=ProjectFullPath~D:\Projeler 2012\AT Guard Simple\Hardware\AT Guard Simple.PrjPcb|ReportField=Title~Bill of Materials For Project [AT Guard Simple.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~80|ReportField=ReportTime~11:39:23 AM|ReportField=ReportDate~1/31/2013|ReportField=ReportDateTime~1/31/2013 11:39:23 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~1/31/2013|ReportField=CurrentTime~11:37:00 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Projeler 2012\AT Guard Simple\Hardware\AT Guard Simple Main.SchDoc|ReportField=DocumentName~AT Guard Simple Main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~1/23/2013|ReportField=Organization~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~AT Guard Simple.PrjPcb|ReportField=DataSourceFullPath~D:\Projeler 2012\AT Guard Simple\Hardware\AT Guard Simple.PrjPcb
#NAME?|IC OPAMP GP R-R 1MHZ 14TSSOP|||U1|TSSOP-14N|1|LMV324IPWR
24FC1025-I/SM|1 Mbit, 1MHz, 2.5V, I2C Serial EEPROM, 8-Pin SOIC 208mil, Industrial Temperature|||U2|SOIJ-SM8_N|1|24FC1025-I/SM
2N7002|N-channel Enhancement Mode Field-effect Transistor|||Q2|SOT23_N|1|2N7002
78L33ABUTR|Precision 500mA Regulator|||U4|SOT89M|1|78L33ABUTR
BC817-40|NPN General-purpose Transistor|||Q3|SOT23_N|1|BC817-40
BSS84|P-channel Enhancement Mode Vertical D-MOSFET|||Q1|SOT23_N|1|BSS84
Buzzer 5V r=12mm, h=7.5 mm||||B1|Buzzer 9x5.5 mm|1|Buzzer_
Cap|Capacitor|1.5nF|50V|C5|6-0805_N|1|Cap
Cap|Capacitor|100pF|50V|C26|3-0603_L|1|Cap
Cap|Capacitor|10uF|10V|C20|3-0603_L|1|Cap
Cap|Capacitor|10uF|6.3V|C13|3-0603_L|1|Cap
Cap|Capacitor|180nF|50V|C10|6-0805_N|1|Cap
Cap|Capacitor|180pF|50V|C28|6-0805_N|1|Cap
Cap|Capacitor|220pF|50V|C9|6-0805_N|1|Cap
Cap|Capacitor|4.7nF|50V|C3|6-0805_N|1|Cap
Cap|Capacitor|470nF|50V|C2|3-0603_L|1|Cap
CAP-Tantal|Tantamount Military, Surface Mount MIL-PRF-55365/8 Qualified Solid Tantalum Chip Capacitor: 6.8uF, 20% Tolerance, 6 WVDC @ +85°C, Surge = 8V|220uF|6.3V|C22|C|1|CAP-Tantal
Crystal Oscillator|Crystal Oscillator|12MHz||Y1|4x2.5mm & 3.2x2.5 mm SMD CRYSTAL - duplicate|1|Crystal Oscillator
Header 5pin|Header 5-Pin|||P1|Header 1.27mm 5P|1|Header 5 pin
LED|Typical INFRARED GaAs LED|||D2|6-0805 - LED|1|LED
LIS3DH|3-axis - ±2g analog output “nano” accelerometer|||U8|LGA 16|1|LIS3DH
LL4148|1 Amp General Purpose Rectifier|||D1|DL-35 - S|1|LL4148
MCP79402|MCP79402 RTC,I2C|||U6|TSSOP-ST8_M|1|MCP79402
