Added Component: Designator=B1(Buzzer 9x5.5 mm)
Added Component: Designator=C1(3-0603_N)
Added Component: Designator=C2(3-0603_N)
Added Component: Designator=C3(6-0805_M)
Added Component: Designator=C4(6-0805_M)
Added Component: Designator=C5(6-0805_M)
Added Component: Designator=C6(6-0805_M)
Added Component: Designator=C7(6-0805_M)
Added Component: Designator=C8(6-0805_M)
Added Component: Designator=C9(6-0805_M)
Added Component: Designator=C10(6-0805_M)
Added Component: Designator=C11(6-0805_M)
Added Component: Designator=C12(3-0603_N)
Added Component: Designator=C13(3-0603_N)
Added Component: Designator=C14(3-0603_N)
Added Component: Designator=C15(3-0603_N)
Added Component: Designator=C16(3-0603_N)
Added Component: Designator=C17(3-0603_N)
Added Component: Designator=C18(3-0603_N)
Added Component: Designator=C19(3-0603_N)
Added Component: Designator=C20(3-0603_N)
Added Component: Designator=C21(3-0603_N)
Added Component: Designator=C22(C)
Added Component: Designator=C23(3-0603_N)
Added Component: Designator=C24(3-0603_N)
Added Component: Designator=C25(3-0603_N)
Added Component: Designator=D1(DL-35 - S)
Added Component: Designator=D2(6-0805 - LED)
Added Component: Designator=L1(4.5x3.2mm SMD Bobin)
Added Component: Designator=P1(Header 1.27mm 5P)
Added Component: Designator=P2(USB Mini B Female - Connfly DS1104)
Added Component: Designator=P3(HDR1X2H-180 derece)
Added Component: Designator=P5(Header 1.27mm 10P)
Added Component: Designator=P6(Header 1.27mm 10P)
Added Component: Designator=Q1(SOT23_N)
Added Component: Designator=Q2(SOT23_N)
Added Component: Designator=Q3(SOT23_N)
Added Component: Designator=R1(6-0805_M)
Added Component: Designator=R2(6-0805_M)
Added Component: Designator=R3(6-0805_M)
Added Component: Designator=R4(3-0603_N)
Added Component: Designator=R5(6-0805_M)
Added Component: Designator=R6(6-0805_M)
Added Component: Designator=R7(6-0805_M)
Added Component: Designator=R8(6-0805_M)
Added Component: Designator=R9(6-0805_M)
Added Component: Designator=R10(6-0805_M)
Added Component: Designator=R11(6-0805_M)
Added Component: Designator=R12(3-0603_N)
Added Component: Designator=R13(3-0603_N)
Added Component: Designator=R14(3-0603_N)
Added Component: Designator=R15(3-0603_N)
Added Component: Designator=R16(6-0805_M)
Added Component: Designator=R17(3-0603_N)
Added Component: Designator=R18(3-0603_N)
Added Component: Designator=R19(3-0603_N)
Added Component: Designator=R20(3-0603_N)
Added Component: Designator=R21(6-0805_M)
Added Component: Designator=R22(3-0603_N)
Added Component: Designator=R23(3-0603_N)
Added Component: Designator=R24(3-0603_N)
Added Component: Designator=U1(TSSOP-14N)
Added Component: Designator=U2(SOIJ-SM8_N)
Added Component: Designator=U3(SSOP-20)
Added Component: Designator=U4(SOT-23-CH5_M)
Added Component: Designator=U6(TSSOP-ST8_M)
Added Component: Designator=U8(LGA 16)
Added Component: Designator=U9(SOT-143B)
Added Component: Designator=Y1(3.2x2.5 mm SMD CRYSTAL)
Added Component: Designator=Y2(32768 SMT 2.1x6.2mm Crystal)
Added Component: Designator=Y3(32768 SMT 2.1x6.2mm Crystal)
Added Pin To Net: NetName=+5V Pin=B1-1
Added Pin To Net: NetName=NetB1_2 Pin=B1-2
Added Pin To Net: NetName=GND Pin=C1-1
Added Pin To Net: NetName=GND Pin=C2-1
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=NetC4_2 Pin=C4-2
Added Pin To Net: NetName=GND Pin=C5-2
Added Pin To Net: NetName=NetC4_2 Pin=C6-1
Added Pin To Net: NetName=GND Pin=C6-2
Added Pin To Net: NetName=NetC7_2 Pin=C7-2
Added Pin To Net: NetName=NetC9_2 Pin=C9-2
Added Pin To Net: NetName=NetC9_2 Pin=C10-1
Added Pin To Net: NetName=GND Pin=C12-1
Added Pin To Net: NetName=GND Pin=C13-1
Added Pin To Net: NetName=GND Pin=C14-1
Added Pin To Net: NetName=GND Pin=C15-1
Added Pin To Net: NetName=GND Pin=C16-1
Added Pin To Net: NetName=GND Pin=C17-1
Added Pin To Net: NetName=GND Pin=C18-1
Added Pin To Net: NetName=VI2C Pin=C18-2
Added Pin To Net: NetName=VBAT Pin=C19-1
Added Pin To Net: NetName=GND Pin=C19-2
Added Pin To Net: NetName=GND Pin=C20-1
Added Pin To Net: NetName=NetC20_2 Pin=C20-2
Added Pin To Net: NetName=GND Pin=C21-1
Added Pin To Net: NetName=GND Pin=C22-2
Added Pin To Net: NetName=VI2C Pin=C23-1
Added Pin To Net: NetName=GND Pin=C23-2
Added Pin To Net: NetName=GND Pin=C24-1
Added Pin To Net: NetName=GND Pin=C25-1
Added Pin To Net: NetName=NetC4_2 Pin=D1-2
Added Pin To Net: NetName=GND Pin=D2-2
Added Pin To Net: NetName=NetL1_2 Pin=L1-2
Added Pin To Net: NetName=GND Pin=P1-3
Added Pin To Net: NetName=NetC20_2 Pin=P2-1
Added Pin To Net: NetName=GND Pin=P2-5
Added Pin To Net: NetName=GND Pin=P2-6
Added Pin To Net: NetName=GND Pin=P2-6
Added Pin To Net: NetName=GND Pin=P2-6
Added Pin To Net: NetName=GND Pin=P2-6
Added Pin To Net: NetName=GND Pin=P3-2
Added Pin To Net: NetName=GND Pin=P6-1
Added Pin To Net: NetName=GND Pin=Q2-2
Added Pin To Net: NetName=GND Pin=Q3-2
Added Pin To Net: NetName=NetB1_2 Pin=Q3-3
Added Pin To Net: NetName=NetC9_2 Pin=R2-1
Added Pin To Net: NetName=GND Pin=R3-2
Added Pin To Net: NetName=NetC7_2 Pin=R5-2
Added Pin To Net: NetName=NetC7_2 Pin=R10-1
Added Pin To Net: NetName=NetC20_2 Pin=R15-2
Added Pin To Net: NetName=GND Pin=R16-1
Added Pin To Net: NetName=NetC4_2 Pin=R16-2
Added Pin To Net: NetName=NetC20_2 Pin=R18-2
