EKRAN TİPİ	Renkli TFT ekran
KULLANICI KAPASİTESİ	1.500
PARMAK İZİ KAPASİTESİ	1.500
LOG KAYIT KAPASİTESİ	30.000
ACCESS KONTROL	Var
WIEGAND	in/out
KİLİT VE TURNİKE AÇMA	Var
KART OKUMA ÖZELLİĞİ	Opsiyonel
WEB SERVER ÖZELLİĞİ	Yok
ZİL ÇALDIRMA ÖZELLİĞİ	Var
İŞ KODU FONKSİYONU	Yok
MESAJ GÖNDERME	Yok
YAZICIDAN ÇIKTI ALMA	Yok
USB İLE VERİ ÇEKME	Var
BAĞLANTI ARA BİRİMİ	RS232/485, TCP/IP
WIRELESS (WIFI)	Yok
REMOTE ID SYSTEM	-
SU GEÇİRMEZ YAPI	-
MENÜ DİLİ	Türkçe
KONUŞMA DİLİ	Türkçe
SENSÖR TİPİ	-
PLATFORM	ZEM 710 ZK
İŞLETİM SİSTEMİ	Linux
TANILAMA HIZI	< 2 saniye
HATALI KABUL ETME	< %0,0001
HATALI REDDETME	< %0,01
ÇALIŞMA VOLTAJI	3 A / 12 V DC
EBATLAR	180x76x44 mm
