EKRAN TİPİ	Beyaz LCD ekran
KULLANICI KAPASİTESİ	500
PARMAK İZİ KAPASİTESİ	500
LOG KAYIT KAPASİTESİ	30.000
ACCESS KONTROL	Var
WIEGAND	in/out
KİLİT VE TURNİKE AÇMA	Var
KART OKUMA ÖZELLİĞİ	Opsiyonel
WEB SERVER ÖZELLİĞİ	Yok
ZİL ÇALDIRMA ÖZELLİĞİ	Var
İŞ KODU FONKSİYONU	Yok
MESAJ GÖNDERME	Yok
YAZICIDAN ÇIKTI ALMA	Opsiyonel
USB İLE VERİ ÇEKME	Yok
BAĞLANTI ARA BİRİMİ	RS232/485
WIRELESS (WIFI)	Yok
REMOTE ID SYSTEM	Yok
SU GEÇİRMEZ YAPI	-
MENÜ DİLİ	Türkçe
KONUŞMA DİLİ	Türkçe
SENSÖR TİPİ	ZK optik
PLATFORM	ZEM 510 ZK
İŞLETİM SİSTEMİ	Linux
TANILAMA HIZI	< 2 saniye
HATALI KABUL ETME	< %0,0001
HATALI REDDETME	< %0,01
ÇALIŞMA VOLTAJI	3A / 12V DC
EBATLAR	152x68x40 mm
