EKRAN TİPİ	Beyaz LCD ekran
KULLANICI KAPASİTESİ	3.000
PARMAK İZİ KAPASİTESİ	3.000
LOG KAYIT KAPASİTESİ	50.000
ACCESS KONTROL	Var
WIEGAND	in/out
KİLİT VE TURNİKE AÇMA	Var
KART OKUMA ÖZELLİĞİ	Opsiyonel
WEB SERVER ÖZELLİĞİ	Yok
ZİL ÇALDIRMA ÖZELLİĞİ	Var
İŞ KODU FONKSİYONU	Yok
MESAJ GÖNDERME	Var
YAZICIDAN ÇIKTI ALMA	-
USB İLE VERİ ÇEKME	Yok
BAĞLANTI ARA BİRİMİ	RS232/485, TCP/IP
WIRELESS (WIFI)	-
REMOTE ID SYSTEM	Opsiyonel
SU GEÇİRMEZ YAPI	-
MENÜ DİLİ	Türkçe
KONUŞMA DİLİ	Türkçe
SENSÖR TİPİ	ZK optik
PLATFORM	ZEM 510 ZK
İŞLETİM SİSTEMİ	Linux
TANILAMA HIZI	< 2 saniye
HATALI KABUL ETME	< %0,0001
HATALI REDDETME	< %0,01
ÇALIŞMA VOLTAJI	3 A / 12 V DC
EBATLAR	140x117x38 mm
