EKRAN TİPİ	Renkli TFT ekran
KULLANICI KAPASİTESİ	8.000
PARMAK İZİ KAPASİTESİ	8.000
LOG KAYIT KAPASİTESİ	200.000
ACCESS KONTROL	-
WIEGAND	in/out
KİLİT VE TURNİKE AÇMA	Var
KART OKUMA ÖZELLİĞİ	Opsiyonel
WEB SERVER ÖZELLİĞİ	Opsiyonel
ZİL ÇALDIRMA ÖZELLİĞİ	Var
İŞ KODU FONKSİYONU	Var
MESAJ GÖNDERME	Var
YAZICIDAN ÇIKTI ALMA	Yok
USB İLE VERİ ÇEKME	Var
BAĞLANTI ARA BİRİMİR	S232/485, TCP/IP, USB
WIRELESS (WIFI)	-
REMOTE ID SYSTEM	Yok
SU GEÇİRMEZ YAPI	-
MENÜ DİLİ	Türkçe
KONUŞMA DİLİ	Türkçe
SENSÖR TİPİ	ZK optik
PLATFORM	ZEM 710 ZK
İŞLETİM SİSTEMİ	Linux
TANILAMA HIZI	< 2 saniye
HATALI KABUL ETME	< %0,0001
HATALI REDDETME	< %0,01
ÇALIŞMA VOLTAJI	1,5 A / 12 V DC
EBATLAR	190x140x46 mm
