EKRAN TİPİ	Renkli TFT ekran
KULLANICI KAPASİTESİ	50.000
PARMAK İZİ KAPASİTESİ	50.000
YÜZ TANIMA KAPASİTESİ	-
LOG KAYIT KAPASİTESİ	800.000
ACCESS KONTROL	Var
WIEGAND	in/out
KİLİT VE TURNİKE AÇMA	Var
KART OKUMA ÖZELLİĞİ	Opsiyonel
WEB SERVER ÖZELLİĞİ	Yok
ZİL ÇALDIRMA ÖZELLİĞİ	Var
İŞ KODU FONKSİYONU	Var
MESAJ GÖNDERME	Yok
YAZICIDAN ÇIKTI ALMA	Opsiyonel
USB İLE VERİ ÇEKME	Var
BAĞLANTI ARA BİRİMİ	RS232/485, TCP/IP, USB
WIRELESS (WIFI)	Opsiyonel
REMOTE ID SYSTEM	Opsiyonel
SU GEÇİRMEZ YAPI	-
MENÜ DİLİ	Türkçe
KONUŞMA DİLİ	Türkçe
SENSÖR TİPİ	ZK optik
PLATFORM	ZEM 800 ZK
İŞLETİM SİSTEMİ	Linux
TANILAMA HIZI	< 2 saniye
HATALI KABUL ETME	< %0,0001
HATALI REDDETME	< %0,01
ÇALIŞMA VOLTAJI	3 A / 12 V DC
EBATLAR	213x178x48 mm
