EKRAN TİPİ	Dokunmatik renkli ekran
KULLANICI KAPASİTESİ	10.000
PARMAK İZİ KAPASİTESİ	2.000
YÜZ TANIMA KAPASİTESİ	500
LOG KAYIT KAPASİTESİ	100.000
ACCESS KONTROL	-
WIEGAND	Output
KİLİT VE TURNİKE AÇMA	Var
KART OKUMA ÖZELLİĞİ	Var
WEB SERVER ÖZELLİĞİ	Opsiyonel
ZİL ÇALDIRMA ÖZELLİĞİ	Opsiyonel
İŞ KODU FONKSİYONU	Var
MESAJ GÖNDERME	Opsiyonel
YAZICIDAN ÇIKTI ALMA	-
USB İLE VERİ ÇEKME	Var
BAĞLANTI ARA BİRİMİR	S232/485/ETHERNET
WIRELESS (WIFI)	Opsiyonel
REMOTE ID SYSTEM	-
MENÜ DİLİ	Türkçe
KONUŞMA DİLİ	Türkçe
SENSÖR TİPİ	ZK optik sensör
PLATFORM	ZEM 800 ZK
İŞLETİM SİSTEMİ	Linux
TANILAMA HIZI	< 2 saniye
HATALI KABUL ETME	< %0,0001
HATALI REDDETME	< %0,01
ÇALIŞMA VOLTAJI	3 A / 12 V DC
EBATLAR	194x148x101 mm
