EKRAN TİPİ	Dokunmatik renkli ekran
KULLANICI KAPASİTESİ	10.000
PARMAK İZİ KAPASİTESİ	2.000
YÜZ TANIMA KAPASİTESİ	500
LOG KAYIT KAPASİTESİ	100.000
ACCESS KONTROL	Var
WIEGAND	In/Output
KİLİT VE TURNİKE AÇMA	Var
KART OKUMA ÖZELLİĞİ	Opsiyonel
WEB SERVER ÖZELLİĞİ	-
ZİL ÇALDIRMA ÖZELLİĞİ	Var
İŞ KODU FONKSİYONU	-
MESAJ GÖNDERME	-
YAZICIDAN ÇIKTI ALMA	-
USB İLE VERİ ÇEKME	-
BAĞLANTI ARA BİRİMİ	RS232/485/ETHERNET
WIRELESS (WIFI)	Opsiyonel
REMOTE ID SYSTEM	-
MENÜ DİLİ	Türkçe
KONUŞMA DİLİ	Türkçe
SENSÖR TİPİ	ZK optik sensör
PLATFORM	ZEM 800 ZK
İŞLETİM SİSTEMİ	Linux
TANILAMA HIZI	< 2 saniye
HATALI KABUL ETME	< %0,0001
HATALI REDDETME	< %0,01
ÇALIŞMA VOLTAJI	3 A / 12 V DC
EBATLAR	275x100x195 mm
