EKRAN TİPİ	Beyaz OLED ekran
KULLANICI KAPASİTESİ	2.200
PARMAK İZİ KAPASİTESİ	2.200
LOG KAYIT KAPASİTESİ	30.000
ACCESS KONTROL	Var
WIEGAND	in/out
KİLİT VE TURNİKE AÇMA	Var
KART OKUMA ÖZELLİĞİ	Opsiyonel
WEB SERVER ÖZELLİĞİ	-
ZİL ÇALDIRMA ÖZELLİĞİ	Var
İŞ KODU FONKSİYONU	-
MESAJ GÖNDERME	-
YAZICIDAN ÇIKTI ALMA	-
USB İLE VERİ ÇEKME	Var
BAĞLANTI ARA BİRİMİ	RS485, TCP/IP, USB
WIRELESS (WIFI)	-
REMOTE ID SYSTEM	-
SU GEÇİRMEZ YAPI	Var, IP66
MENÜ DİLİ	Türkçe
KONUŞMA DİLİ	Türkçe
SENSÖR TİPİ	ZK optik
PLATFORM	ZEM 710 ZK
İŞLETİM SİSTEMİ	Linux
TANILAMA HIZI	< 1 saniye
HATALI KABUL ETME	< %0,0001
HATALI REDDETME	< %0,01
ÇALIŞMA VOLTAJI	3A / 12V DC
EBATLAR	63x185x42 mm
