EKRAN TİPİ	: Dokunmatik renkli ekran
KULLANICI KAPASİTESİ	: 10.000
PARMAK İZİ KAPASİTESİ	: -
YÜZ TANIMA KAPASİTESİ	: 400
LOG KAYIT KAPASİTESİ	: 100.000
ACCESS KONTROL	: -
WIEGAND	: -
KİLİT VE TURNİKE AÇMA	: -
KART OKUMA ÖZELLİĞİ	: Opsiyonel
WEB SERVER ÖZELLİĞİ	: -
ZİL ÇALDIRMA ÖZELLİĞİ	: Var
İŞ KODU FONKSİYONU	: Var
MESAJ GÖNDERME	: Var
YAZICIDAN ÇIKTI ALMA	: -
USB İLE VERİ ÇEKME	: Var
BAĞLANTI ARA BİRİMİ	: RS232/485
WIRELESS (WIFI)	: Var
REMOTE ID SYSTEM	: -
SU GEÇİRMEZ YAPI	: -
MENÜ DİLİ	: Türkçe
KONUŞMA DİLİ	: Türkçe
SENSÖR TİPİ	: -
PLATFORM	: ZEM 800 ZK
İŞLETİM SİSTEMİ	: Linux
TANILAMA HIZI	: <1 saniye
HATALI KABUL ETME	: <%0,0001
HATALI REDDETME	: <%0,01
ÇALIŞMA VOLTAJI	: 1,5 A / 12 V DC
EBATLAR	: 105x160x36 mm
